Credits,Player Type,Player Name,Team,CricinfoKey
5,WK,Vansh Bedi,CHE,NA
5.5,BAT,Andre Siddharth,CHE,NA
5.5,ALL,Ramakrishna Ghosh,CHE,NA
5,BAT,Shaik Rasheed,CHE,NA
6,BOWL,Gurjapneet Singh,CHE,NA
8.5,BOWL,Matheesha Pathirana,CHE,NA
7.5,BOWL,Noor Ahmad,CHE,NA
6,BOWL,Anshul Kamboj,CHE,NA
7,BOWL,Nathan Ellis,CHE,NA
6.5,BOWL,Mukesh Choudhary,CHE,NA
9,BAT,Ruturaj Gaikwad,CHE,NA
6,BOWL,Kamlesh Nagarkoti,CHE,NA
8,BAT,Rachin Ravindra,CHE,NA
7.5,BOWL,Khaleel Ahmed,CHE,NA
8,BAT,Shivam Dube,CHE,NA
7.5,BAT,Rahul Tripathi,CHE,NA
7.5,ALL,Sam Curran,CHE,NA
6.5,BOWL,Shreyas Gopal,CHE,NA
7,BAT,Deepak Hooda,CHE,NA
8,WK,Devon Conway,CHE,NA
6.5,ALL,Jamie Overton,CHE,NA
6.5,BAT,Vijay Shankar,CHE,NA
8,ALL,Ravichandran Ashwin,CHE,NA
8.5,ALL,Ravindra Jadeja,CHE,NA
7,WK,MS Dhoni,CHE,NA
5,ALL,Madhav Tiwari,DC,NA
5.5,ALL,Manvanth Kumar L,DC,NA
5.5,BOWL,Tripurana Vijay,DC,NA
5,BOWL,Vipraj Nigam,DC,NA
8,BAT,Tristan Stubbs,DC,NA
6.5,WK,Abishek Porel,DC,NA
7,BAT,Ashutosh Sharma,DC,NA
7,ALL,Donovan Ferreira,DC,NA
6.5,BAT,Sameer Rizvi,DC,NA
7.5,BAT,Jake Fraser-McGurk,DC,NA
6.5,ALL,Ajay Mandal,DC,NA
6.5,BOWL,Darshan Nalkande,DC,NA
7.5,BOWL,T Natarajan,DC,NA
7,BOWL,Mukesh Kumar,DC,NA
8.5,BOWL,Kuldeep Yadav,DC,NA
7.5,BOWL,Mohit Sharma,DC,NA
9,WK,Lokesh Rahul,DC,NA
9,ALL,Axar Patel,DC,NA
7,BOWL,Dushmantha Chameera,DC,NA
7,BAT,Karun Nair,DC,NA
8.5,BAT,Faf du Plessis,DC,NA
8.5,BOWL,Mitchell Starc,DC,NA
5.5,BOWL,Gurnoor Brar Singh,GT,NA
6,ALL,Nishant Sindhu,GT,NA
5.5,ALL,Arshad Khan,GT,NA
8,BAT,Sai Sudharsan,GT,NA
5.5,WK,Kumar Kushagra,GT,NA
6,ALL,Manav Suthar,GT,NA
7,BAT,Sherfane Rutherford,GT,NA
7,BOWL,Gerald Coetzee,GT,NA
6.5,WK,Anuj Rawat,GT,NA
6,BOWL,Kulwant Khejroliya,GT,NA
9,BAT,Shubman Gill,GT,NA
7,BOWL,Ravisrinivasan Sai Kishore,GT,NA
6.5,BAT,Mahipal Lomror,GT,NA
6,ALL,Karim Janat,GT,NA
7,ALL,Washington Sundar,GT,NA
7.5,ALL,Shahrukh Khan,GT,NA
8,BOWL,Mohammed Siraj,GT,NA
8,BAT,Glenn Phillips,GT,NA
9,BOWL,Rashid-Khan,GT,NA
7.5,BOWL,Prasidh Krishna,GT,NA
6.5,BOWL,Jayant Yadav,GT,NA
7,ALL,Rahul Tewatia,GT,NA
8.5,BOWL,Kagiso Rabada,GT,NA
9,WK,Jos Buttler,GT,NA
7.5,BOWL,Ishant Sharma,GT,NA
8,BOWL,Harshit Rana,KKR,NA
6.5,BAT,Angkrish Raghuvanshi,KKR,NA
6.5,BOWL,Vaibhav Arora,KKR,NA
5.5,WK,Luvnith Sisodia,KKR,NA
6,BOWL,Mayank Markande,KKR,NA
6,BOWL,Chetan Sakariya,KKR,NA
7.5,WK,Rahmanullah Gurbaz,KKR,NA
6.5,BOWL,Spencer Johnson,KKR,NA
9,BOWL,Varun Chakravarthy,KKR,NA
8,BOWL,Anrich Nortje,KKR,NA
6,ALL,Anukul Sudhakar Roy,KKR,NA
7.5,ALL,Ramandeep Singh,KKR,NA
7,BAT,Rovman Powell,KKR,NA
7.5,BAT,Rinku Singh,KKR,NA
8,BAT,Venkatesh Iyer,KKR,NA
7,ALL,Moeen Ali,KKR,NA
8,WK,Quinton de Kock,KKR,NA
8.5,ALL,Andre Russell,KKR,NA
9,ALL,Sunil Narine,KKR,NA
7,BAT,Manish Pandey,KKR,NA
7.5,BAT,Ajinkya Rahane,KKR,NA
6,BOWL,Umran Malik,KKR,NA
5,BOWL,Digvesh Singh,LSG,NA
5.5,BOWL,Prince Yadav,LSG,NA
6.5,BOWL,Shamar Joseph,LSG,NA
7.5,BOWL,Mayank Yadav,LSG,NA
6,ALL,Arshin Kulkarni,LSG,NA
7,BOWL,Akash Deep,LSG,NA
6,BOWL,Akash Singh,LSG,NA
5,ALL,Yuvraj Chaudhary,LSG,NA
8,BOWL,Ravi Bishnoi,LSG,NA
6.5,BAT,Abdul Samad,LSG,NA
7,ALL,Shahbaz Ahmed,LSG,NA
5.5,BOWL,Rajvardhan Hangargekar,LSG,NA
7,BAT,Ayush Badoni,LSG,NA
5.5,WK,Aryan Juyal,LSG,NA
7,BOWL,Mohsin Khan,LSG,NA
6.5,BAT,Matthew Breetzke,LSG,NA
6,BOWL,Manimaran Siddharth,LSG,NA
9,WK,Rishabh Pant,LSG,NA
5.5,BAT,Himmat Singh,LSG,NA
8,ALL,Aiden Markram,LSG,NA
8,BOWL,Avesh Khan,LSG,NA
8.5,WK,Nicholas Pooran,LSG,NA
8,BAT,David Miller,LSG,NA
8,BAT,Mitchell Marsh,LSG,NA
6,BAT,Bevon Jacobs,MI,NA
6.5,ALL,Naman Dhir,MI,NA
5.5,WK,Robin Minz,MI,NA
5.5,BAT,Raj Angad Bawa,MI,NA
5,BOWL,Vignesh Puthur,MI,NA
5.5,ALL,Satyanarayana Raju,MI,NA
5.5,BOWL,Ashwani Kumar,MI,NA
8,BAT,Tilak Varma,MI,NA
6,WK,KL Shrijith,MI,NA
7,BOWL,Mujeeb-ur-Rahman,MI,NA
7.5,WK,Ryan Rickelton,MI,NA
5,BOWL,Arjun Tendulkar,MI,NA
7.5,ALL,Will Jacks,MI,NA
9,ALL,Hardik Pandya,MI,NA
7.5,ALL,Mitchell Santner,MI,NA
6.5,BOWL,Reece Topley,MI,NA
6,ALL,Corbin Bosch,MI,NA
9,BOWL,Jasprit Bumrah,MI,NA
8.5,BOWL,Trent Boult,MI,NA
9,BAT,Suryakumar Yadav,MI,NA
8,BOWL,Deepak Chahar,MI,NA
6.5,BOWL,Karn Sharma,MI,NA
9,BAT,Rohit Sharma,MI,NA
6,ALL,Musheer Khan,PBKS,NA
5,BAT,Harnoor Singh Pannu,PBKS,NA
5.5,BAT,Pyla Avinash,PBKS,NA
5.5,ALL,Suryansh Shedge,PBKS,NA
6.5,BOWL,Harpreet Brar,PBKS,NA
6.5,BAT,Priyansh Arya,PBKS,NA
6,BOWL,Kuldeep Sen,PBKS,NA
8,ALL,Marco Jansen,PBKS,NA
7.5,BAT,Nehal Wadhera,PBKS,NA
7.5,WK,Prabhsimran Singh,PBKS,NA
7,ALL,Aaron Hardie,PBKS,NA
8.5,BOWL,Arshdeep Singh,PBKS,NA
7.5,ALL,Azmatullah Omarzai,PBKS,NA
6.5,WK,Vishnu Vinod,PBKS,NA
6.5,BOWL,Xavier Bartlett,PBKS,NA
7.5,BAT,Shashank Singh,PBKS,NA
7.5,BOWL,Lockie Ferguson,PBKS,NA
7.5,WK,Josh Inglis,PBKS,NA
7,BOWL,Vyshak Vijaykumar,PBKS,NA
6,BOWL,Pravin Dubey,PBKS,NA
6.5,BOWL,Yash Thakur,PBKS,NA
8.5,BAT,Shreyas Iyer,PBKS,NA
8,ALL,Marcus Stoinis,PBKS,NA
8.5,BOWL,Yuzvendra Chahal,PBKS,NA
8.5,ALL,Glenn Maxwell,PBKS,NA
5,BOWL,Abhinandan Singh,RCB,NA
5.5,BAT,Swastik Chikara,RCB,NA
6,ALL,Mohit Rathee,RCB,NA
6,BOWL,Suyash Sharma,RCB,NA
7,BAT,Jacob Bethell,RCB,NA
6.5,BOWL,Rasikh Salam,RCB,NA
7,BOWL,Yash Dayal,RCB,NA
6.5,ALL,Manoj Bhandage,RCB,NA
7.5,BOWL,Nuwan Thushara,RCB,NA
7,ALL,Romario Shepherd,RCB,NA
7.5,BAT,Tim David,RCB,NA
7,BAT,Devdutt Padikkal,RCB,NA
7.5,ALL,Krunal Pandya,RCB,NA
8,BAT,Rajat Patidar,RCB,NA
7.5,WK,Jitesh Sharma,RCB,NA
7.5,BOWL,Lungi Ngidi,RCB,NA
8.5,WK,Philip Salt,RCB,NA
8,ALL,Liam Livingstone,RCB,NA
8.5,BOWL,Josh Hazlewood,RCB,NA
8,BOWL,Bhuvneshwar Kumar,RCB,NA
7,ALL,Swapnil Singh,RCB,NA
9,BAT,Virat Kohli,RCB,NA
5,BAT,Vaibhav Suryavanshi,RR,NA
5,BOWL,Ashok Sharma,RR,NA
6,BOWL,Kwena Maphaka,RR,NA
5,WK,Kunal Singh Rathore,RR,NA
7,BOWL,Akash Madhwal,RR,NA
5.5,BAT,Shubham Dubey,RR,NA
6.5,ALL,Yudhvir Singh Charak,RR,NA
7.5,BOWL,Maheesh Theekshana,RR,NA
7.5,WK,Dhruv Jurel,RR,NA
6,BOWL,Kumar Kartikeya,RR,NA
9,BAT,Yashasvi Jaiswal,RR,NA
7,BOWL,FazalHaq Farooqi,RR,NA
8,ALL,Riyan Parag,RR,NA
7.5,BOWL,Tushar Deshpande,RR,NA
8,BOWL,Jofra Archer,RR,NA
8.5,ALL,Wanindu Hasaranga,RR,NA
7.5,ALL,Nitish Rana,RR,NA
7.5,BAT,Shimron Hetmyer,RR,NA
7.5,BOWL,Sandeep Sharma,RR,NA
9,WK,Sanju Samson,RR,NA
5,BAT,Aniket Verma,SRH,NA
6,BOWL,Eshan Malinga,SRH,NA
8,ALL,K Nitish Reddy,SRH,NA
6.5,BAT,Abhinav Manohar,SRH,NA
6.5,BAT,Atharva Taide,SRH,NA
6,BOWL,Simarjeet- Singh,SRH,NA
6.5,BOWL,Rahul Chahar,SRH,NA
8.5,ALL,Abhishek Sharma,SRH,NA
7,BAT,Kamindu Mendis,SRH,NA
7,ALL,Wiaan Mulder,SRH,NA
5.5,BOWL,Zeeshan Ansari,SRH,NA
8,WK,Ishan Kishan,SRH,NA
9,WK,Heinrich Klaasen,SRH,NA
6.5,BAT,Sachin Baby,SRH,NA
9,BAT,Travis Head,SRH,NA
7.5,BOWL,Adam Zampa,SRH,NA
8,BOWL,Harshal Patel,SRH,NA
8.5,BOWL,Pat Cummins,SRH,NA
8.5,BOWL,Mohammed Shami,SRH,NA
7,BOWL,Jaydev Unadkat,SRH,NA
